Transaction_ID,Date,Customer_Name,Product,Total_Item,Total_Cost,Payment_Method,City,Store_Type,Discount_,Customer_Category,Season,Promotion
100000000,02-08-2023 03:48,Customer_13,"['Detergent', 'Biscuits', 'Butter', 'Eggs', 'Bread']",5,499.69,Cash,Jaipur,Grocery Store,TRUE,Businessperson,Rainy,None
100000001,03-04-2024 05:26,Customer_358,"['Oil', 'Snacks', 'Butter', 'Toothpaste', 'Biscuits', 'Milk', 'Coffee']",7,642.77,UPI,Delhi,Convenience Store,FALSE,Homemaker,Summer,None
100000002,03-04-2020 22:34,Customer_117,"['Bread', 'Detergent', 'Eggs', 'Shampoo', 'Snacks']",5,767.93,Mobile Payment,Surat,Department Store,TRUE,Professional,Spring,Festive Offer
100000003,06-07-2021 21:50,Customer_353,"['Detergent', 'Oil', 'Milk', 'Biscuits', 'Vegetables', 'Shampoo', 'Soap', 'Toothpaste', 'Butter']",9,1437.54,Cash,Hyderabad,Convenience Store,FALSE,Businessperson,Spring,10% OFF
100000004,25-03-2021 04:43,Customer_261,"['Bread', 'Milk', 'Eggs', 'Butter', 'Soap', 'Shampoo', 'Oil', 'Toothpaste']",8,1377.02,Mobile Payment,Jaipur,Pharmacy,FALSE,Student,Rainy,Festive Offer
100000005,19-11-2020 15:29,Customer_2,"['Fruits', 'Soap', 'Biscuits', 'Eggs', 'Cold Drink']",5,654.27,Mobile Payment,Surat,Pharmacy,FALSE,Student,Winter,10% OFF
100000006,04-12-2024 10:29,Customer_123,['Detergent'],1,264.62,Mobile Payment,Delhi,Grocery Store,TRUE,Professional,Summer,Festive Offer
100000007,30-01-2023 05:38,Customer_136,"['Biscuits', 'Tea', 'Toothpaste', 'Vegetables', 'Cold Drink', 'Fruits', 'Oil', 'Spices', 'Soap']",9,887.24,Mobile Payment,Hyderabad,Supermarket,TRUE,Homemaker,Winter,BOGO (Buy One Get One)
100000008,24-07-2021 22:50,Customer_249,"['Vegetables', 'Butter', 'Chocolate', 'Detergent']",4,585.04,UPI,Pune,Grocery Store,FALSE,Businessperson,Winter,None
100000009,04-05-2020 13:44,Customer_373,"['Eggs', 'Detergent', 'Toothpaste', 'Vegetables', 'Coffee', 'Bread']",6,981.61,Mobile Payment,Mumbai,Convenience Store,TRUE,Student,Summer,BOGO (Buy One Get One)
100000010,12-04-2022 16:34,Customer_247,"['Shampoo', 'Milk', 'Soap', 'Biscuits']",4,650.23,Credit Card,Ahmedabad,Convenience Store,FALSE,Professional,Summer,10% OFF
100000011,21-03-2021 01:59,Customer_297,"['Milk', 'Oil', 'Biscuits', 'Vegetables', 'Chocolate', 'Snacks', 'Tea', 'Coffee', 'Bread']",9,1345.53,Mobile Payment,Surat,Supermarket,FALSE,Homemaker,Rainy,BOGO (Buy One Get One)
100000012,03-10-2023 10:43,Customer_123,"['Shampoo', 'Butter', 'Cold Drink', 'Coffee', 'Oil']",5,936.88,Mobile Payment,Delhi,Convenience Store,TRUE,Homemaker,Summer,10% OFF
100000013,09-12-2024 02:20,Customer_451,"['Sugar', 'Cold Drink', 'Soap', 'Coffee']",4,949.5,Mobile Payment,Jaipur,Pharmacy,TRUE,Professional,Rainy,None
100000014,27-12-2024 03:39,Customer_381,"['Butter', 'Snacks', 'Cold Drink', 'Toothpaste', 'Oil', 'Eggs', 'Chocolate', 'Tea', 'Biscuits']",9,1159.4,Credit Card,Bengaluru,Grocery Store,FALSE,Student,Winter,None
100000015,13-12-2024 23:35,Customer_463,"['Vegetables', 'Milk', 'Sugar']",3,278.83,Credit Card,Pune,Supermarket,FALSE,Professional,Summer,None
